levers;code;make;model;year;KOD
MRV-racing;AP.6.1;APRILIA;CAPONORD / ETV 1000;2002-2007;
MRV-racing;AP.8.3;APRILIA;CAPANORD 1200 / RALLY;2014-2016;
MRV-racing;AP.7.2;APRILIA;DORSODURO 750;2008-2016;
MRV-racing;AP.8.4;APRILIA;DORSODURO 1200;2011-2015;
MRV-racing;AP.8.5;APRILIA;FALCO / SL 1000;2000-2004 ;
MRV-racing;AP.4.2;APRILIA;PEGASO 650;1992-1996;
MRV-racing;AP.3.1;APRILIA;RS 50;2000-2005;
MRV-racing;AP.3.2;APRILIA;RS 125;1998-2005;
MRV-racing;AP.4.1;APRILIA;RS 250;1995-2002;
MRV-racing;AP.6.2;APRILIA;RST 1000 FUTURA;2001-2004;
MRV-racing;AP.8.1;APRILIA;RSV MILLE / R;1999-2003 ;
MRV-racing;AP.2.1;APRILIA;RSV MILLE / R;2004-2008; F-11 / V-4
MRV-racing;AP.1.1;APRILIA;RSV4 / RSV4 FACTORY;2009-2016;R33 / M-48
MRV-racing;AP.7.1;APRILIA;"SHIVER / GT	";2007-2016;
MRV-racing;AP.8.2;APRILIA;TUONO 1000-R;2003-2009;DB-12 / M-48
MRV-racing;AP.5.1;APRILIA;TUONO V4R / FACTORY;2011-2016;
MRV-racing;BAJ.1.1;BAJAJ;PULSAR 200 NS;all years;
MRV-racing;BM.6.3;BMW;F650;1998;
MRV-racing;BM.4.3;BMW;F650 GS;2008-2012 ;
MRV-racing;BM.4.4;BMW;F700 GS;2013-2016;
MRV-racing;BM.4.7;BMW;F800 GS / ADVENTURE;2008-2016 ;
MRV-racing;BM.4.5;BMW;F800 GT;2013-2015;
MRV-racing;BM.4.6;BMW;F800 R;2009-2016;
MRV-racing;BM.4.1;BMW;F800 S;2006-2014;
MRV-racing;BM.4.2;BMW;F800 ST;2006-2015;
MRV-racing;BM.3.1;BMW;G650 GS;2011-2012;
MRV-racing;BM.1.13;BMW;HP2 ENDURO;2005-2008 ;
MRV-racing;BM.1.14;BMW;HP2 MEGAMOTO;2006-2009;
MRV-racing;BM.2.1;BMW;HP2 SPORT;2008-2011 ;
MRV-racing;BM.1.10;BMW;K1200 GT;2007-2008;
MRV-racing;BM.1.1;BMW;K1600 GT / GTL;2011-2015;
MRV-racing;BM.1.3;BMW;K1200 R;2005-2008;
MRV-racing;BM.1.4;BMW;K1200 R SPORT;2006-2008;
MRV-racing;BM.1.2;BMW;K1200 S;2004-2008;
MRV-racing;BM.1.12;BMW;K1300 S / R / GT;2009-2014 ;
MRV-racing;BM.1.8;BMW;R1200 GS;2004-2012;
MRV-racing;BM.1.9;BMW;R1200 GS ADVENTURE;2006-2011;
MRV-racing;BM.1.5;BMW;R1200 R;2006-2014;
MRV-racing;BM.1.11;BMW;R1200 RT / SE;2010-2013;
MRV-racing;BM.1.6;BMW;R1200 S;2006-2008;
MRV-racing;BM.1.7;BMW;R1200 ST;2005-2008;
MRV-racing;BM.5.1;BMW;S1000 RR (no Comp version);2010-2014;
MRV-racing;BM.5.2;BMW;S1000 R;2014;
